축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명,외국인방문수,사진
제13회 양천마라톤,안양천 해마루축구장,2024-04-27,2024-04-27,마라톤 대회(하프+10km+10km커플런+5km+5km가족런)+부대공연+이벤트 부스운영 등,서울특별시 양천구체육회,서울특별시 양천구청,,02-2620-3419,,,,서울특별시 양천구 신정동 871-3,37.51837,126.87769,2025-08-31,3140000,서울특별시 양천구,66,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2024 양천구 반려동물 문화축제,목동로데오패션거리,2024-06-01,2024-06-01,반려견 놀이터+반려용품 판매+체험부스 운영,서울특별시 양천구청,서울특별시 양천구청,,02-2620-3407,,,,서울특별시 양천구 신정동 1068,37.52842,126.86079,2025-08-31,3140000,서울특별시 양천구,123,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제6회 신정1동 마을축제,단지어린이공원,2024-10-26,2024-10-26,자치회관프로그램발표+플리마켓+먹거리부스+체험부스,신정1동 마을축제추진위원회,신정1동 마을축제추진위원회,서울특별시 양천구청,02-2620-5381,,,,서울특별시 양천구 신정동 1033-1,37.52013,126.85414,2025-08-31,3140000,서울특별시 양천구,109,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
어울림 한마당 축제,강서초,2024-10-26,2024-10-26,자치회관프로그램 발표+노래자랑+문화공연+체험부스+플리마켓,"신월2,4동 축제추진위윈회","신월2,4동 축제추진위윈회",서울특별시 양천구청,02-2620-4115,,,서울특별시 양천구 오목로 31,서울특별시 양천구 신월동 441,37.52241,126.84099,2025-08-31,3140000,서울특별시 양천구,1391,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제1회 양천가족 거리축제,신월로 신정네거리역,2024-10-27,2024-10-27,각종 문화체험활동+먹거리존+거리퍼레이드,(재)양천문화재단,서울특별시 양천구청,서울특별시 양천구청,02-2021-8943,,,서울특별시 양천구 중앙로 265-1,서울특별시 양천구 신정동 1231,37.5199910799,126.85286,2025-08-31,3140000,서울특별시 양천구,1016,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
광주왕실도자페스티벌,곤지암도자공원 일원,2025-04-25,2025-05-06,도자체험과 왕실문화체험 등 행사 운영,경기도 광주시청,경기도 광주시청,,031-760-1729,,,경기도 광주시 곤지암읍 경충대로 727,경기도 광주시 곤지암읍 삼리 72-1,37.352096,127.327398,2025-09-10,5540000,경기도 광주시,165,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
남한산성문화제,남한산성도립공원 일원,2025-09-19,2025-09-21,남한산성의 천혜자연을 배경으로 다양한 행사 프로그램 진행,광주시문화재단,광주시문화재단,경기도 광주시청,031-789-5741,,,,경기도 광주시 남한산성면 산성리 1048,37.476581,127.183442,2025-09-10,5540000,경기도 광주시,135,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
서면 빛축제,서면1번가,2025-10-13,2026-02-28,테마별 빛 시설물 조성 + 문화예술 프로그램 운영,부산광역시 부산진구청,부산광역시 부산진구청,부산광역시 부산진구청,051-605-4524,https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003007000,,부산광역시 부산진구 서면로(부전동),부산광역시 부산진구 부전동 254-19,35.154589,129.058564076,2025-09-09,3290000,부산광역시 부산진구,1105,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
와룡산 와~봄 축제,와룡산 일원,2023-04-08,2023-04-08,산길걷기 행사 + 문화공연 등,대구광역시 서구청,대구광역시 서구청,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 새방로 171,대구광역시 서구 상리동 산119-6,35.87117298,128.5283449,2025-09-11,3430000,대구광역시 서구,838,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
달성토성마을축제,달성토성 둘레길,2025-11-01,2025-11-01,골목정원투어 + 체험 전시마당+ 문화공연 등,달성토성마을 골목축제 조직위원회,달성토성마을골목축제 조직위원회,대구광역시 서구청,053-663-4256,http://www.dgs.go.kr/tour/,,대구광역시 서구 국채보상로 81안길 18,대구광역시 서구 비산동 130-1,35.87530312,128.5762648,2025-09-11,3430000,대구광역시 서구,752,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
오감만족+ 어린이날 큰 잔치,서구문화회관 일원,2025-05-03,2025-05-03,기념식+놀이마당+체험부스+부대행사,대구광역시 서구청,대구광역시 서구청,대구광역시 서구청,053-663-2544,http://www.dgs.go.kr/tour/,,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87278996,128.5455378,2025-09-11,3430000,대구광역시 서구,1350,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
가족사랑 아이스축제,이현공원물놀이장,2025-07-26,2025-07-26,얼음을 주제로 온가족 참여 프로그램+ 체험부스 등,대구광역시 서구문화원,대구광역시 서구청,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 문화로 122,대구광역시 서구 이현동 48-8,35.8736233,128.545478,2025-09-11,3430000,대구광역시 서구,881,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
미소&행복 구민축제,구민운동장,2025-10-19,2025-10-19,구민화합경기+ 구민가요제 등,대구광역시 서구문화원,대구광역시 서구청,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 문화로 96,대구광역시 서구 이현동 산28-12,35.87361502,128.5429046,2025-09-11,3430000,대구광역시 서구,1137,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
달구벌목민관축제,구민운동장 일대,2025-10-19,2025-10-19,"달구벌목민관추원제, 달구벌목민관 부임 행차 퍼레이드 등",대구광역시 서구청,대구광역시 서구청,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 국채보상로 257,대구광역시 서구 평리동 1230-9,35.87232204,128.5592893,2025-09-11,3430000,대구광역시 서구,850,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
해맞이축제,와룡산 상리봉+계성고 옆 등산로 초입,2025-01-01,2025-01-01,전통문화공연+ 성악공연+ 해맞이 퍼포먼스+ 떡국나눔,대구광역시 서구새마을회,대구광역시 서구청,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 새방로 171,대구광역시 서구 상리동 산119-6,35.87117298,128.5283449,2025-09-11,3430000,대구광역시 서구,1195,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거창국제연극제,수승대 일원,2025-07-25,2025-08-03,국내외 연극공연 등,거창문화재단,거창문화재단+KBS창원방송총국,경상남도+경상남도 거창군,055-940-8455,https://www.kift.or.kr/,,경상남도 거창군 은하리길 2,경상남도 거창군 위천면 황산리 750-3,35.76092327,127.8336769,2025-09-01,5470000,경상남도 거창군,4,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거창한마당대축제,스포츠파크 일원,2025-09-25,2025-09-28,아림예술제+군민체육대회 등,거창문화재단,거창문화재단,경상남도 거창군,055-940-8458,거창한마당축제.kr,,경상남도 거창군 거창읍 심소정길 39-36,경상남도 거창군 거창읍 양평리 1160,35.69513581,127.9263505,2025-09-01,5470000,경상남도 거창군,147,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거창크리스마스트리문화축제,거창군청 일원,2024-12-31,2024-12-31,트리문화축제 공연 등,거창크리스마스트리문화축제위원회,거창크리스마스트리문화축제위원회,경상남도 거창군,055-943-3579,https://www.gcctf.co.kr/,,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,35.6866668,127.909539,2025-09-01,5470000,경상남도 거창군,-36,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
금원산 얼음축제,금원산 휴양림,2024-12-31,2024-12-31,얼음미끄럼틀 등,경상남도 산림환경연구원,경상남도 산림환경연구원,경상남도 거창군,055-254-3971,https://blog.naver.com/gnfeel/223705284492,,경상남도 거창군 위천면 금원산길 412,경상남도 거창군 위천면 상천리 산61-1,,,2025-09-01,5470000,경상남도 거창군,151,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제37회 고양행주문화제,행주산성 행주산성역사공원,2025-05-23,2025-05-25,행주투석전 뮤지컬행주대첩 불꽃드론쇼 수상불꽃놀이 행주민속촌 왜적을잡아라미션게임 등,고양문화재단,경기도 고양시청,,031-960-9684,http://www.hjfestival.or.kr,,,경기도 고양시 덕양구 행주내동 산26-1,37.59610775,126.8287118,2025-07-09,3940000,경기도 고양시,232,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 고양호수예술축제,일산호수공원 일산문화광장,2025-09-26,2025-09-28,국내외 거리예술공연 및 시민참여프로그램,고양문화재단,경기도 고양시청,,031-960-9685,http://www.gylaf.kr,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,37.65384593,126.7687814,2025-07-09,3940000,경기도 고양시,139,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
강화 고려산 진달래꽃구경,고려산 일원,2025-04-05,2025-04-13,산불 심각단계라 취소됨,인천광역시 강화군,인천광역시 강화군,,032-930-3577,https://www.ganghwa.go.kr/open_content/main/,,,인천광역시 강화군 강화읍 부근리 350-4,,,2025-04-15,3570000,인천광역시 강화군,39,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2019 안양여성축제,평촌중앙공원,2019-05-18,2019-05-19,기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,경인일보,(재)안양문화예술재단,경기도 안양시+ 안양시여성단체협의회,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,2025-08-12,3830000,경기도 안양시,87,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2019 광복기념음악회,병목안시민공원,2019-08-15,2019-08-15,뮤지컬 그룹 플래티넘+ 안양시립합창단 공연 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,경기도 안양시+ 티브로드abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.385289,126.907675,2025-08-12,3830000,경기도 안양시,90,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2019 안양 시민축제,평촌중앙공원+병목안시민공원+범계로데오,2019-09-20,2019-09-22,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,2025-08-12,3830000,경기도 안양시,118,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2021 안양시민축제 <우선멈춤>,평촌중앙공원+삼덕공원+온라인(www.aydf.or.kr),2021-10-01,2021-10-03,시민과 함께하는 K-POP 댄스 페스티벌,안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,2025-08-12,3830000,경기도 안양시,100,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2022 안양시민축제 <우선멈춤>,평촌중앙공원+삼덕공원+온라인(www.aydf.or.kr),2022-09-23,2022-09-25,시민과 함께하는 K-POP 댄스 페스티벌,안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,2025-08-12,3830000,경기도 안양시,110,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2023 안양충훈벚꽃축제,안양충훈2교일대,2023-04-08,2023-04-09,벚꽃콘서트+ 버스킹공연+ 벚꽃체험부스+ 푸드트럭&먹거리+ 벚꽃컬러링북+ SNS이벤트 등,(재)안양문화예술재단,경기도 안양시+안양충훈벚꽃축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.404615,126.896157,2025-08-12,3830000,경기도 안양시,67,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2023 광복78주년 광복기념음악회,병목안시민공원,2023-08-15,2023-08-15,기념행사 + 오프닝 퍼포먼스 + 뮤지컬 갈라 + 팝페라 + 가수공연 + 테마영상 상영 등,(재)안양문화예술재단,(재)안양문화예술재단,경기도 안양시 + SK브로드밴드 abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.385289,126.907675,2025-08-12,3830000,경기도 안양시,103,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2023 안양춤축제 ANYANG DANCE FESTIVAL,평촌중앙공원+삼덕공원,2023-09-20,2023-09-24,시민공연마당 + 전시체험부스 + 개폐막 작품 + 가수 축하공연 + 댄스대회 + 안양시민의날 기념식 + 시민커뮤니티댄스 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,2025-08-12,3830000,경기도 안양시,155,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2024 안양충훈벚꽃축제,안양충훈2교일대,2024-03-30,2024-03-31,벚꽃콘서트+벚꽃체험부스+ 먹거리+ SNS이벤트 등,(재)안양문화예술재단,경기도 안양시+안양충훈벚꽃축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.404615,126.896157,2025-08-12,3830000,경기도 안양시,62,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2024 안양춤축제 ANYANG DANCE FESTIVAL,평촌중앙공원+삼덕공원,2024-09-27,2024-09-29,시민공연마당 + 전시체험부스 + 개폐막 작품 + 가수 축하공연 + 댄스대회 + 안양시민의날 기념식 + 시민커뮤니티댄스 등,(재)안양문화예술재단,경기도 안양시+안양춤축제추진위원회,,031-687-0500,http://www.ayac.or.kr / www.aydf.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,2025-08-12,3830000,경기도 안양시,88,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제6회 연제고분판타지축제,온천천시민공원 및 연산동 고분군,2025-03-28,2025-03-30,역사문화행사,연제구축제추진위원회,부산광역시 연제구,,051-665-4065,,,,부산광역시 연제구 거제동 1466-24,35.19588064,129.082826,2025-09-09,3370000,부산광역시 연제구,98,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 청춘금오천벚꽃페스티벌,구미 금오천 일원,2025-04-02,2025-04-06,벚꽃+거리공연,경상북도 구미시,경상북도 구미시,,054-480-6612,,,경상북도 구미시 금오산로 53-4,경상북도 구미시 원평동 964-64,36.12721161,128.3375981,2025-09-09,5080000,경상북도 구미시,112,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 구미라면축제,구미역(원평동)일원,2025-11-07,2025-11-09,라면테마축제,경상북도 구미시,경상북도 구미시,농심,054-480-2652,구미라면.com,,경상북도 구미시 구미중앙로 76,경상북도 구미시 원평동 1008-1,36.12833012,128.3309395,2025-09-09,5080000,경상북도 구미시,135,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 구미푸드페스티벌,구미 복개천 일원,2025-10-18,2025-10-19,지역 음식테마 축제,경상북도 구미시,경상북도 구미시,,054-480-5593,,,,경상북도 구미시 송정동 501,36.11577874,128.3507141,2025-09-09,5080000,경상북도 구미시,187,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
군포철쭉축제,철쭉동산,2025-04-19,2025-04-27,공연+전시+체험+놀이+먹거리 부스 등 운영,(재)군포문화재단,경기도 군포시,경기도 군포시,031-390-0063,http://gunpofestival.or.kr/,,경기도 군포시 고산로 451,경기도 군포시 산본동 1153,,,2025-09-04,4020000,경기도 군포시,82,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
군포올래 행복축제,산본 로데오거리,2025-10-17,2025-10-18,공연+전시+체험 등 운영,경기도 군포시,경기도 군포시,경기도 군포시,031-390-0063,http://gunpo.go.kr,,경기도 군포시 청백리길 6,경기도 군포시 금정동 844,,,2025-09-04,4020000,경기도 군포시,180,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
사하예술제,을숙도문화회관 일원,2025-11-08,2025-11-09,전시+공연+체험프로그램+연계 행사 등,부산광역시 사하구청,부산광역시 사하구청,,051-220-4065,https://www.saha.go.kr/tour/contents.do?mId=0202020000,,부산광역시 사하구 낙동남로1233번길 25,부산광역시 사하구 하단동 1151-14,35.11002996,128.9449619,2025-09-05,3340000,부산광역시 사하구,1069,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
장림항 부네치아 아트프리마켓,장림항 선착장 및 도로 일원,2025-10-18,2025-10-19,전시+공연+체험프로그램+연계 행사 등,부산광역시 사하구청,부산광역시 사하구청,,051-220-4064,,,부산광역시 사하구 장림로93번길 74,부산광역시 사하구 장림동 1092,35.07930287,128.9516028,2025-09-05,3340000,부산광역시 사하구,873,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
다대포 선셋 영화축제,다대포해수욕장 일원,2025-08-08,2025-08-10,공연+씨네토크콘서트+초청작 및 청년영화 상영+불꽃쇼 등,(사)한국영화감독협회,다대포선셋영화축제 조직위원회,,051-220-4062,https://www.dsff.kr/intro/index.asp,,부산광역시 사하구 몰운대1길 14,부산광역시 사하구 다대동 482-3,35.04637981,128.9680078,2025-09-05,3340000,부산광역시 사하구,821,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
감천문화마을 골목축제,감천문화마을 일원,2025-10-24,2025-10-25,"소규모문화공연, 체험부스, 조명설치 등",감천문화마을 주민협의회,부산광역시 사하구청,,051-220-0054,https://www.saha.go.kr/tour/contents.do?mId=0202010000,,부산광역시 사하구 감내2로 203,부산광역시 사하구 감천동 1-14,35.09748814,129.0106085,2025-09-05,3340000,부산광역시 사하구,1056,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제25회 음성품바축제,음성 설성공원 및 꽃동네 일원,2024-05-22,2024-05-26,"최귀동 할아버지의 박애정신과 사랑, 나눔, 봉사를 통하여 아름다운 사회를 구현하고자 하는 정신문화축제",음성품바축제 기획실무위원회,"음성군 축제추진위원회, 음성예총",문화체육관광부+충청북도+충청북도 음성군+음성꽃동네,043-873-2241,https://www.pumba.kr/,,충청북도 음성군 음성읍 설성공원길 28,충청북도 음성군 음성읍 읍내리 817-242,36.93278537,127.6910226,2024-08-20,4470000,충청북도 음성군,163,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
보수동책방골목문화축제,보수동책방골목 및 문화관,2024-10-19,2024-10-20,책읽는마을 심포지엄+공연행사+체험 등,보수동 책방골목 번영회,보수동 책방골목 번영회,부산광역시 중구청,051-253-7220,http://www.bosubook.com/,,부산광역시 중구 흑교로46번길 11,부산광역시 중구 보수동1가 119-6,35.10362715,129.0261809,2024-11-28,3250000,부산광역시 중구,1178,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
부산국제영화제 전야제,BIFF광장일원,2024-10-01,2024-10-01,축하공연,(사) 부산국제영화제,(사) 부산국제영화제,부산광역시 중구청,051-709-2091,https://www.biff.kr,,부산광역시 중구 비프광장로 36,부산광역시 중구 남포동5가 18-1,35.09862035,129.0287588,2024-11-28,3250000,부산광역시 중구,1081,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
부산자갈치축제,자갈치시장 및 유라리광장 일원,2024-10-03,2024-10-06,개막식+길놀이+체험프로그램 등,(사)부산자갈치문화관광축제위원회,(사)부산자갈치문화관광축제위원회,부산광역시+부산광역시 중구청+부산시설관리공단,051-243-9363,http://www.ejagalchi.com/,,부산광역시 중구 자갈치해안로 52,부산광역시 중구 남포동4가 37-1,35.0966394,129.0305933,2024-11-28,3250000,부산광역시 중구,791,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
광복로겨울빛트리축제,광복로 및 중구 관내 일원,2024-11-15,2025-02-02,일루미네이션 크리스마스트리장식+성탄음악행사+시민참여행사+점등식 등,부산광역시 중구청,부산광역시 중구청,,051-464-0112,,,부산광역시 중구 광복중앙로 2,부산광역시 중구 남포동4가 37-2,35.0995432,129.0314651,2024-11-28,3250000,부산광역시 중구,897,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 정조대왕 능행차 공동재현,서울 경복궁~수원화성~화성 융릉(수원구간 : 노송지대~종합운동장~장안문~수원화성),2025-09-28,2025-09-28,1795년 정조대왕의 을묘년 원행을 완벽하게 재현하는 국내 최대 퍼레이드,경기도 수원시+(재)수원문화재단,경기도 수원시,,031-228-2454,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.28188256,127.0143944,2025-05-05,3740000,경기도 수원시,60,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제62회 수원화성문화제,행궁광장 등 수원화성 일원,2025-09-27,2024-10-04,정조대왕의 효심과 부국강병의 원대한 꿈으로 축성된 세계문화유산 수원화성에서 펼쳐지는 8일간의 행사,경기도 수원시+(재)수원문화재단,경기도 수원시,,031-228-3068,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.28188256,127.0143944,2025-05-05,3740000,경기도 수원시,21,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 수원화성 미디어아트,화서문+장안문+장안공원 일대,2025-09-27,2025-10-12,수원화성 대표 건축물에 프로젝션 맵핑/인터렉티브 미디어아트/레이저 등 디지털 미디어 기술을 활용한 미디어아트쇼,(재)수원문화재단,경기도 수원시,,031-228-3084,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.2818782,127.0143876,2025-05-05,3740000,경기도 수원시,166,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제29회 수원음식문화박람회,수원화성박물관 부설주차장,2025-09-26,2025-09-27,"전국요리경연대회, 국제자매도시조리사초청전 동시개최로 수원의 맛과 멋을 알리는 수원만의 특색있는 음식문화박람회",경기도 수원시,경기도 수원시,,031-228-2233,,,경기도 수원시 팔달구 창룡대로 21,경기도 수원시 팔달구 매향동 49,37.282574,127.0189851,2025-05-05,3740000,경기도 수원시,148,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
3.1민속문화제,국가무형유산놀이마당 및 영산면 일원,2025-02-28,2025-03-03,전야제+구계목도 시연+쇠머리대기 시연+줄다리기 시연+체육행사,동·서부 추진본부 및 각 주관부서,경상남도 창녕군청,,055-530-1461,https://www.cng.go.kr/01659/02138/02154.web,,경상남도 창녕군 영산면 영산계성로 110-15,경상남도 창녕군 영산면 성내리 260,35.46260178,128.5259178,2025-05-09,5410000,경상남도 창녕군,70,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
부곡온천축제,부곡온천광광특구 일원,2025-03-28,2025-03-30,산신제+온정제+기념식+개막축하공연+퍼레이드+족욕체험,(사)부곡온천광광협의회,경상남도 창녕군청,,055-536-6277,https://www.cng.go.kr/01659/02140/03235.web,,,경상남도 창녕군 부곡면 거문리 203-1,35.43746252,128.588844,2025-05-09,5410000,경상남도 창녕군,86,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
창녕낙동강유채축제,남지읍 낙동강 유채단지(남지유채단지)+남지체육공원 일원,2025-04-10,2025-04-13,낙동강용왕대제+창녕 농부 아지매 선발대회+미술대회+개막식+20주년 기념콘서트+청소년 유채 가요제+청녕 버스킹+동춘서커스 공연+유채꽃라디엔티어링+블랙이글스에어쇼+드론쇼,(사)창녕낙동강유채축제위원회,경상남도 창녕군청,,055-530-1523,https://www.cng.go.kr/01659/02136/02137.web,,,경상남도 창녕군 남지읍 남지리 835-25,35.38472041,128.471585,2025-05-09,5410000,경상남도 창녕군,117,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025년 국가유산 야행 달빛 한 아름 교동고분군 밤마실,교동고분군+창녕박물관+창녕천 일원,2025-05-09,2025-05-10,개막식(고취대 행렬+국가유산 야행 소개+축하공연 등)+야간체험프로그램,(사)창녕예총,경상남도 창녕군청,,055-530-1461,https://www.cng.go.kr/03516/01549.web?gcode=1001&idx=567049&amode=view&,,,경상남도 창녕군 창녕읍 교리 1073-34,35.5467567479,128.504851,2025-05-09,5410000,경상남도 창녕군,136,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
산토끼와 따오기가 함께하는 창작동요제,창녕문화예술회관 대공연장,2025-07-25,2025-07-26,동요노래부르기 대회+창작동요제,㈜KNN,경상남도 창녕군청,,055-530-1461,https://www.cng.go.kr/01659/02143/03801.web,,경상남도 창녕군 창녕읍 군청1길 35,경상남도 창녕군 창녕읍 교리 991,35.54473636,128.4902051,2025-05-09,5410000,경상남도 창녕군,126,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
창녕양파마늘가요제,창녕공설운동장 특설무대,2024-09-07,2024-09-07,경연팀 공연+초대가수공연,MBC경남,경상남도 창녕군청,,055-530-1461,https://www.cng.go.kr/01659/02141/03799.web,,경상남도 창녕군 창녕읍 창녕대로 305,경상남도 창녕군 창녕읍 퇴천리 61,35.52088133,128.5049206,2025-05-09,5410000,경상남도 창녕군,216,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
우포따오기와 함께하는 비사벌 문화제,창녕천 일원,2024-10-25,2024-10-27,전시공연+기념식+축하공연+우포따오기 한마음장터+미술그리기대회+보부상장터+비사벌문화행렬+향토기양제+전국시조경창대회+청소년뽐내기한마당+영산줄다리기시연+창녕문화원 동아리공연+막끌리는파티+외국인근로자 노래자랑+우포따오기 쿠킹쇼+폐막식+경품추첨,(사)비사벌문화제전회,경상남도 창녕군청,창녕군의회+창녕경찰서+경상남도창녕교육지원청+창녕소방서+창녕문화원+창녕군상공인협의회+민주평통창녕군협의회+종로상가연합회 등,055-532-0993,https://www.cng.go.kr/01659/02139/03797.web,,,경상남도 창녕군 창녕읍 교하리 199-1,35.5396124,128.4986928,2025-05-09,5410000,경상남도 창녕군,58,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
